2022-12-17 19:03:49.020415 | 0 * 2 = 10
2022-12-17 19:05:09.483605 | 10 + 3 = 13
2022-12-17 19:05:16.213630 | 13 4 4 = 13
2022-12-17 19:05:24.810634 | 13 / 2 = 6.5
2022-12-17 19:05:47.627637 | 6.5 - 5 = 1.5
2022-12-17 19:10:48.658126 | 0 * 2 = 10
2022-12-17 19:10:54.552369 | 10 + 2 = 12
2022-12-17 19:11:00.318005 | 12 / 6 = 2.0
2022-12-17 19:11:09.975139 | 2.0 - 1 = 1.0
2022-12-17 19:24:56.655918 | 8*2+3-1/2  = [18.5]
2022-12-17 19:36:42.221916 | 8*2-4/2+3  = [17]
2022-12-17 19:37:22.586951 | 0 * 2 = 16
2022-12-17 19:37:33.550126 | 16 - 4 = 12
2022-12-17 19:37:52.598348 | 12 / 2 = 6.0
2022-12-17 19:37:57.585683 | 6.0 + 3 = 9.0
2022-12-18 10:33:46.683536 | 3+6/3-1*5  = [-4.0]
2022-12-18 10:39:56.846035 | 3+6/3-1*5  = [-4.0]
2022-12-18 10:43:34.118210 | 3+6/3-1*5  = [-4.0]
2022-12-18 10:50:34.819607 | 3+6/3-1*5  = [-4.0]
2022-12-18 10:51:33.137250 | 0 + 6 = 6
2022-12-18 10:51:56.892735 | 6 / 3 = 2.0
2022-12-18 10:52:00.542976 | 2.0 - 1 = 1.0
2022-12-18 10:52:06.153976 | 1.0 * 5 = 5.0
2022-12-18 11:09:10.098045 | 0 + 6 = 9
2022-12-18 11:09:22.177725 | 9 / 3 = 3.0
2022-12-18 11:09:26.574970 | 3.0 - 1 = 2.0
2022-12-18 11:09:29.314647 | 2.0 * 5 = 10.0
2022-12-18 11:11:40.495970 | 0 + 2 = 7
2022-12-18 11:11:47.258886 | 7 - 1 = 6
2022-12-18 11:12:41.506866 | 0 - 2 = 6
2022-12-18 11:12:47.276457 | 6 / 3 = 2.0
2022-12-18 11:12:51.712584 | 2.0 * 5 = 10.0
2022-12-18 11:24:10.692622 | 0 + 2 = 2
2022-12-18 11:24:13.431289 | 2 - 1 = 1
2022-12-18 11:25:46.427689 | 0 + 1 = 1
2022-12-18 11:34:44.303802 | 0 + 3 = 3
2022-12-18 11:35:47.066021 | 0 + 3 = 3
2022-12-18 11:36:31.709678 | 0 + 3 = 3
2022-12-18 11:40:07.010134 | 0 + 3 = 3
2022-12-18 11:41:43.763477 | 0 + 3 = 6
2022-12-18 11:43:42.650668 | None * 2 = 10
2022-12-18 11:45:12.577269 | None / 2 = 2.0
2022-12-18 11:57:21.464393 | 5 + 2 = 7
2022-12-18 11:57:59.098770 | 3 + 6 = 9
2022-12-18 11:58:06.523921 | 9 / 3 = 3.0
2022-12-18 11:58:17.349980 | 3.0 - 1 = 2.0
2022-12-18 11:58:23.305060 | 2.0 * 5 = 10.0
2022-12-18 11:59:10.545774 | 3+6/3-1*5  = [-4.0]
2022-12-18 12:00:59.488542 | 3+6/3-1*5  = [-4]
